Date,"Peso (kg)","Masa grasa (kg)","Bone mass (kg)","Muscle mass (kg)","Hidratación (kg)",Comentarios
"2021-02-24 23:17:12",95.40,16.31,,,,
"2021-02-23 10:18:09",95.20,18.44,,,,
"2021-02-19 10:40:39",96.10,18.23,,,,
"2021-02-15 12:19:53",95.45,17.39,,,,
"2021-02-12 08:12:47",95.30,19.63,,,,
"2021-02-09 11:30:52",95.50,18.32,,,,
"2021-02-08 08:23:09",95.95,18.30,,,,
"2021-02-06 07:17:41",94.75,19.88,,,,
"2021-02-04 22:32:20",95.05,17.05,,,,
"2021-02-02 09:01:38",95.20,19.64,,,,
"2021-02-01 09:51:44",95.65,20.70,,,,
"2021-01-31 07:55:22",95.40,18.98,,,,
"2021-01-29 23:42:55",95.85,17.66,,,,
"2021-01-29 00:18:53",96.15,18.27,,,,
"2021-01-26 14:03:10",95.90,16.79,,,,
"2021-01-23 07:17:03",95.45,21.36,,,,
"2021-01-22 12:07:26",95.15,17.52,,,,
"2021-01-19 07:34:15",95.65,21.43,,,,
"2021-01-18 09:58:15",95.45,20.15,,,,
"2021-01-16 10:31:53",95.40,,,,,
"2021-01-14 10:40:45",95.30,19.96,,,,
"2021-01-12 21:21:45",95.35,18.46,,,,
"2021-01-05 09:32:17",94.90,20.23,,,,
"2020-12-30 11:13:40",94.15,19.45,,,,
"2020-12-26 16:02:27",94.85,18.04,,,,
"2020-12-23 15:20:46",94.50,16.06,,,,
"2020-12-21 16:34:59",94.25,16.45,,,,
"2020-12-20 23:05:03",94.70,17.22,,,,
"2020-12-18 01:21:19",94.45,17.53,,,,
"2020-12-16 07:16:59",93.80,20.37,,,,
"2020-12-15 11:31:20",93.75,17.30,,,,
"2020-12-13 08:39:44",93.55,,,,,
"2020-12-13 08:13:05",93.05,20.58,,,,
"2020-12-12 08:07:34",92.50,,,,,
"2020-12-12 08:07:16",92.60,19.55,,,,
"2020-12-06 22:19:55",93.70,17.57,,,,
"2020-12-03 10:23:55",93.25,19.04,,,,
"2020-12-01 11:17:18",93.05,16.99,,,,
"2020-11-29 18:23:38",92.60,16.69,,,,
"2020-11-28 23:42:27",93.70,15.48,,,,
"2020-11-26 08:31:06",92.85,19.74,,,,
"2020-11-25 08:11:49",93.00,19.09,,,,
"2020-11-24 16:48:01",93.55,18.63,,,,
"2020-11-15 23:22:24",94.35,16.52,,,,
"2020-11-10 23:52:33",93.20,17.32,,,,
"2020-11-09 09:58:36",92.90,19.17,,,,
"2020-11-07 23:16:25",94.20,15.24,,,,
"2020-11-04 16:15:30",93.15,14.91,,,,
"2020-11-02 16:53:00",92.70,17.13,,,,
"2020-11-02 16:52:45",92.75,17.02,,,,
"2020-10-28 23:54:10",94.75,,,,,
"2020-10-28 23:53:53",96.40,,,,,
"2020-10-27 10:21:18",93.85,,,,,
"2020-10-23 09:15:02",93.80,19.51,,,,
"2020-10-22 10:06:55",93.40,7.43,,,,
"2020-10-19 23:10:14",92.90,18.41,,,,
"2020-10-19 10:10:19",94.25,18.66,,,,
"2020-10-16 22:18:32",93.30,15.77,,,,
"2020-10-15 17:06:15",93.00,17.26,,,,
"2020-10-14 08:00:49",92.65,19.14,,,,
"2020-10-13 22:18:20",92.95,17.07,,,,
"2020-10-13 16:14:15",92.75,14.13,,,,
"2020-10-12 09:34:39",93.40,17.53,,,,
"2020-10-09 08:39:36",93.20,18.62,,,,
"2020-10-07 23:47:36",94.55,15.22,,,,
"2020-10-06 09:50:18",93.75,18.15,,,,
"2020-10-05 00:18:14",94.35,14.94,,,,
"2020-10-04 09:24:06",93.90,19.19,,,,
"2020-10-02 13:31:54",93.50,16.36,,,,
"2020-09-30 22:03:32",94.45,14.76,,,,
"2020-09-30 09:27:33",94.40,18.29,,,,
"2020-09-30 09:20:48",94.65,17.11,,,,
"2020-09-29 23:42:44",95.35,,,,,
"2020-09-28 17:54:14",93.25,,,,,
"2020-09-26 00:24:31",93.65,14.21,,,,
"2020-09-25 13:22:45",93.40,16.45,,,,
"2020-09-25 00:20:39",93.85,14.17,,,,
"2020-09-23 09:07:06",93.05,18.36,,,,
"2020-09-22 11:55:32",93.30,16.77,,,,
"2020-09-21 23:12:40",94.25,16.84,,,,
"2020-09-20 23:15:35",94.35,16.83,,,,
"2020-09-18 23:55:40",93.10,14.19,,,,
"2020-09-18 07:40:44",92.45,18.85,,,,
"2020-09-17 09:30:07",92.70,17.13,,,,
"2020-09-17 08:22:28",92.95,18.14,,,,
"2020-09-14 22:53:53",93.20,15.71,,,,
"2020-09-12 22:52:43",92.15,12.81,,,,
"2020-09-12 09:02:32",92.45,17.87,,,,
"2020-09-11 10:28:58",92.30,15.52,,,,
"2020-09-10 22:57:20",92.65,16.57,,,,
"2020-09-08 00:13:41",92.65,13.92,,,,
"2020-09-07 08:27:49",91.90,18.46,,,,
"2020-09-06 09:36:27",91.60,19.65,,,,
"2020-09-05 10:02:08",92.20,17.77,,,,
"2020-09-03 23:30:22",92.00,13.17,,,,
"2020-09-01 18:02:36",92.80,16.37,,,,
"2020-08-30 23:42:55",93.45,13.93,,,,
"2020-08-29 23:31:51",92.35,16.60,,,,
"2020-08-27 23:48:27",92.75,13.00,,,,
"2020-08-26 23:22:18",92.55,13.41,,,,
"2020-08-26 09:23:09",92.30,16.87,,,,
"2020-08-26 00:30:52",92.55,12.88,,,,
"2020-08-25 11:34:53",92.60,14.72,,,,
"2020-08-24 15:48:24",94.40,12.99,,,,
"2020-08-24 15:47:56",94.40,12.84,,,,
"2020-08-23 09:16:28",93.15,15.37,,,,
"2020-08-23 03:53:45",93.40,15.21,,,,
"2020-08-23 00:45:18",93.60,12.47,,,,
"2020-08-22 07:02:47",92.60,17.37,,,,
